Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 21:09:54;SERVIDOR;18;HENRIQUE;1277701;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 21:09:54;SERVIDOR;18;HENRIQUE;1277701;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 21:19:23;SERVIDOR;18;HENRIQUE;1277701;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 21:19:23;SERVIDOR;18;HENRIQUE;1277701;F
1277601;;9453;29/11/2022 19:12:17;29/11/2022 21:41:50;;192;192;0;16,2;31;LOCA;63701;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;67;GUACAMOLE & NACHOS;1;39;39;;29/11/2022 19:12:17;SERVIDOR;31;MARCOS;1277601;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 19:19:15;SERVIDOR;31;MARCOS;1277601;F
;223;TAÇA VINHO LOCA;1;25;25;;29/11/2022 19:35:00;SERVIDOR;31;MARCOS;1277601;F
;239;CANECA CHOPP IPA;1;15;15;;29/11/2022 19:49:52;SERVIDOR;31;HENRIQUE;1277601;F
;19;NHOQUE CAMARAO;1;59;59;;29/11/2022 20:28:08;SERVIDOR;31;MARCOS;1277601;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 20:31:03;SERVIDOR;31;HENRIQUE;1277601;F
;76;SHOT LIMAO;1;2;2;;29/11/2022 20:31:03;SERVIDOR;31;HENRIQUE;1277601;F
;281;COCA COLA KS 290ML;1;8;8;;29/11/2022 20:45:42;SERVIDOR;31;MARCOS;1277601;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 20:56:02;SERVIDOR;31;HENRIQUE;1277601;F
